contribution,status,headline_evidence,main_metric,remaining_gap
ARC-Challenge Phi-3 cross-family source diagnostic,new negative cross-family source diagnostic / non-Qwen source not enough,alternate source=phi3_mini_4k; validation pass=False; test full-slice pass=0/5; test Qwen-disagreement pass=0/5; disagreement rows=833,test full matched/target/text=0.244/0.265/0.241; test disagreement matched/Qwen-sub/text/target=0.200/0.340/0.209/0.273; min matched-Qwen-sub=-0.143; CI95 low vs Qwen-sub=-0.193,This is the true non-Qwen source-family diagnostic that the same-family Qwen-1.5B run could not satisfy. The negative result narrows the next branch to either a stronger non-Qwen source on NVIDIA or a richer hidden/query common-basis connector rather than more cached candidate-score geometry.
ARC-Challenge source-family packet-confidence router diagnostic,new negative router diagnostic / source-family repair narrowed,validation-selected metric=best_score; validation accuracy=0.394; test router/Qwen-sub/oracle=0.315/0.317/0.586; router alt-rate=0.039,source-choice oracle=0.455; router-minus-Qwen mean/min=-0.002/-0.008; min CI95 low vs Qwen=-0.023; disagreement rows=473,"This turns the source-family failure into a decision: there is real oracle headroom, but receiver-side packet confidence cannot select TinyLlama versus Qwen packets reliably on the strict disagreement slice. The next positive branch should use source-side confidence caches, a learned common-basis connector, or a stronger alternate source on NVIDIA rather than more receiver-only scalar routing."
ARC-Challenge source-score source-family router gate,new negative source-confidence repair gate / source-side scalar routing ruled out,selected metric=source_index_pair_lookup; validation router/Qwen=0.451/0.389; test router/Qwen/oracle=0.315/0.317/0.586; source-score sidecar=1B,router-minus-Qwen mean/min=-0.002/-0.002; min CI95 low vs Qwen=-0.031; best scalar source-confidence row ties/fails; disagreement rows=473,"Source-side scalar confidence overfits validation and fails frozen test on the strict TinyLlama-vs-Qwen disagreement surface. The next branch should be a learned common-basis connector or stronger alternate source/NVIDIA run, not another scalar source-score router."
ARC-Challenge candidate-syndrome learned connector gate,new negative learned cached-connector gate / hidden-query connector promoted,selected primary view=tiny_score_shape_connector; validation/test/Qwen=0.344/0.288/0.317; paired diagnostic test=0.316; oracle=0.586,best primary connector-minus-Qwen=-0.029; min seed delta=-0.040; CI95 low=-0.091; test rows=473,"A low-capacity candidate-level ridge connector can choose arbitrary answer candidates, but cached Tiny packet and Tiny score-shape features still lose to Qwen-substituted packets. Even the paired Tiny+Qwen diagnostic only ties. This rules out cached score/packet geometry and promotes a true hidden-state, crosscoder, or Perceiver/Q-Former-style query connector."
ARC-Challenge shared-basis source-computable endpoint,new strongest public benchmark endpoint,validation matched/target/text=0.388/0.244/0.348; test matched/target/text=0.344/0.265/0.311; seed stability validation/test=5/5 and 5/5,test lift over target=0.078; lift over best destructive=0.078; lift over same-byte text=0.033; seed-stability min CI95 low vs target=0.038,"This removes the receiver-BGE packet-construction caveat by using an agreed public hashed basis, but the source decision is still Qwen choice log-likelihood rather than a learned hidden-state communication endpoint; native systems rows remain pending."
ARC-Challenge shared-basis systems trace,new Mac-local systems trace for the public endpoint,test source scoring=251.0 ms/question; receiver decode p50/p95=31.7/104.3 us; peak RSS=7261.3 MiB,12B payload / 15B framed record; single-request cacheline/DMA=64/128B; batch64 line/DMA per request=15.0/16.0B,"This closes a Mac-local phase/RSS/byte trace gap for ARC, but native NVIDIA/vLLM TTFT/TPOT/goodput/HBM rows and source-KV baselines remain pending."
Qwen-hidden to BGE source-latent endpoint diagnostic,negative diagnostic / branch weakened,validation matched/target/text=0.281/0.244/0.348; source accuracy before packet=0.388,matched-source-latent minus same-byte text=-0.067; CI95 low vs target=-0.035; train alignment cosine mean=0.475,"Direct ridge alignment from Qwen hidden summaries to BGE residuals is not strong enough; future latent endpoints need better common-basis learning, denoising receivers, or OT/Procrustes-style regularization before promotion."
ARC-Challenge projection-seed stability,new public-benchmark robustness gate,validation 5/5 seeds pass; test 5/5 seeds pass,test mean/min matched=0.344/0.341; min lift over target=0.076; min lift over same-byte text=0.031; min CI95 low vs target=0.038,"This closes the random-projection luck objection for ARC, but it still reuses the Qwen source-choice cache and does not replace the need for a cleaner model-to-model endpoint or a second public task."
ARC-Challenge fixed-12B public benchmark transfer,new positive public-benchmark gate,validation matched/target/text=0.385/0.244/0.348; test matched/target/text=0.346/0.265/0.311,test lift over target=0.080; lift over best destructive=0.080; CI95 low vs target=0.046; candidate derangement=0.213,"This is the first positive public ARC row, but the source scorer is a local Qwen log-likelihood oracle over candidate text rather than the original train-donor synthetic source; ICLR still needs a cleaner cross-model source/target story and native serving measurements."
ARC-Challenge public bridge contract,new public-benchmark readiness gate,official ARC-Challenge splits materialized 1119/299/1172 train/validation/test; local smoke validation/eval overlap=0,fixed 12B contract; 10 required controls; public result ready=False,"This freezes the public benchmark and leakage controls, but it is deliberately not a positive ARC result until the fixed-12B packet beats target-only and destructive controls."
Global stable-gap validation selector,new strongest model-selection audit,"6/6 selected n512 rows pass after global validation-selected budget {'47': 12, '53': 12, '59': 12}",selected accuracy min=0.652; max best control=0.275; min CI95 lower bound vs base=0.098,"This gives a global pre-eval 12B selector, but it uses source-private gap validation and reports visible structured text as a separate access-model comparator; public benchmark and native systems evidence remain pending."
Global fixed-12B train-donor eval frontier,new strongest eval-surface result,"6/6 n512 cross-family rows pass at one fixed 12B rate across seeds [47, 53, 59]",min accuracy=0.652; max best control=0.275; min CI95 lower bound vs base=0.098,"This removes the need for per-seed eval budgets, but it is an eval-only audit; ICLR still needs a train-only validation rule or predeclared operating-point argument for choosing 12B."
Validation-locked train-donor rate frontier,new reviewer-facing model-selection audit,"6/6 selected n512 rows pass after validation-selected budgets {'47': 14, '53': 12, '59': 12}",selected accuracy min=0.652; max best control=0.273; min CI95 lower bound vs base=0.098,"This removes the worst hand-picked-budget concern for the current seed-repeat surface, but the global fixed-budget policy still does not pass; final ICLR needs a larger train-only validation split or a method adjustment that makes one budget clear every seed."
Unified train-only train-donor anti-shuffle packet method,strongest live ICLR method branch,6/6 n128 cross-family seed-repeat rows pass; 3/3 n512 seeds pass under the 12-14B frontier,12-14B accuracy 0.648-0.750 vs base 0.500-0.625; n512 min CI95 lower bound vs base=0.096,"This removes the eval-donor caveat for the unified train-only stack and clears n512 seed repeats, but still needs a locked validation-based byte-selection rule, public benchmark transfer, and native NVIDIA/vLLM systems measurements."
Train-only receiver permuted-null gap decoder,new live receiver-basis method candidate,6/6 n512 cross-family seed-repeat rows pass; 3/3 seeds cross-family pass,12B train-only receiver accuracy 0.500-0.625 vs target 0.250; max best control=0.260; min CI95 lower bound vs target=0.213,"This clears the cross-family train-only receiver gate for the source-atom packet, but same-family is still limited by a structured-text control; use it as the receiver component inside the new train-donor anti-shuffle stack."
Train-only sender source-prioritized packet builder,strongest current generalization-facing method,9/9 n512 seed-repeat rows pass; 3/3 seeds cross-family pass,12B accuracy 0.625-0.750 vs live base 0.500-0.500; min lift over base=0.125; rate pass rows=8/12,"The sender packet builder is train-only, but the receiver dictionary still uses public eval-disjoint calibration; keep as a separate sender contribution now that train-donor anti-shuffle is the unified branch."
Source-prioritized innovation packet builder,new strict held-out-family positive method,9/9 n512 seed-repeat rows pass; 3/3 seeds cross-family pass,12B accuracy 0.625-0.625 vs live base 0.500-0.500; min lift over base=0.125,"Packet builder excludes the eval family from builder calibration, but the candidate dictionary is still public eval-disjoint; true train-only cross-family generalization and real benchmarks remain ICLR gates."
Public-disjoint source-to-candidate packet builder,high-accuracy adaptation row,9/9 n512 seed-repeat rows pass; 3/3 seeds cross-family pass,8B accuracy 0.875-0.875 vs live base 0.500-0.625; min lift over base=0.250,"This is stronger in accuracy but weaker in generalization than leave-one-family-out; use as adaptation evidence, not the headline ICLR generalization claim."
Source-private candidate-local residual packet,current live positive method,9/9 n512 rows pass strict controls,8.0B payload / 11.0B record; accuracy 0.500-0.625,Still benchmark-specific; needs broader tasks and native systems rows for comfortable ICLR.
Same-family versus cross-family separation gate,reviewer-facing generalization evidence,live cross-family rows pass 6/6 and same-family rows pass 3/3,cross-family min matched=0.500; max best control=0.260,"This is strict within the current synthetic family split, not yet unrelated real LLM families."
Candidate-local threshold frontier,mechanistic robustness diagnostic,live clean threshold range 0.45-0.48; RR/sign clean threshold exists=False/False,threshold 0.48 clean rows=9/9,Explains the live row; does not create a new learned packet interface.
Candidate-local margin atlas,reviewer-facing confidence and failure-mode diagnostic,live matched positive-margin rate=0.750; best destructive control=0.375; Procrustes matched/control=0.750/0.750,live matched p50 margin=0.243; best-control condition=permuted_teacher_receiver,Diagnostic evidence only; the next method branch should use this margin surface to train or prune residual codes.
Candidate-local systems boundary trace,strong Mac-local systems positioning,no source text/KV exposure; min KV proxy/live-record ratio 4887.3x,resident sparse decode p50=5.232 us/request; packet-ring batch64 p95=0.674 ns/request,Native NVIDIA/vLLM C2C/KVComm/TurboQuant rows remain pending.
Cross-benchmark source-state byte-floor systems comparator,new cross-benchmark systems/accounting contribution,2 headline public benchmarks and 2 diagnostic benchmark; framed packets=4-11B; native systems complete=False,min one-token QJL 1-bit KV floor=69.8x framed packet; min 30%-layer QJL floor=20.9x; min 30%-layer fp16 KVComm floor=335.1x,"This makes the source-state exposure cost explicit across ARC, OpenBookQA, and HellaSwag while marking HellaSwag as diagnostic due to label-copy. It is still a byte-floor/accounting comparator, not a native C2C/KVComm/QJL/TurboQuant/vLLM win."
Native-readiness systems ledger,new systems non-claim/readiness table,3 Mac-local measured rows; 5 pending native rows,native ready=False; source-private local rows=3,"Strengthens systems framing by defining exactly what to measure next, but it is not a native throughput result and should not be counted as closing the NVIDIA/vLLM gate."
Native vLLM/SGLang systems benchmark plan,new native systems runbook and acceptance schema,"11 required rows across vLLM/SGLang; headline benchmarks=ARC-Challenge,OpenBookQA; native systems complete=False","44 required metrics including TTFT, TPOT, goodput, peak GPU memory, HBM/PCIe-or-NVLink traffic, payload bytes, and source-exposure flags","This converts the systems blocker into a reproducible GPU measurement table, but it is still a plan artifact until NVIDIA/vLLM/SGLang rows are executed and ingested."
Source-private evidence-packet benchmark and controls,strong scoped contribution,160 examples x 3 seeds x 5 label/code/order stress transforms pass,"matched=1.000, target=0.250, worst_control=0.263","Still a protocol/candidate-decoder task; frame as source-private evidence communication, not universal semantics."
Extreme-rate candidate-syndrome packet method,headline method for scoped paper,packet oracle bytes max=2.0; matched-byte text accuracy max=0.250,packet vs query-aware text >= 7.0x; packet vs full log >= 183.2x,"Text becomes oracle at higher bytes, so claim only the far-left rate frontier."
Systems byte/KV-cache accounting frontier,systems contribution with clear caveat,minimum QJL-style 1-bit cache payload is 10752.0x packet,minimum KIVI-style 2-bit cache payload is 21504.0x packet,Derived byte accounting only; no production GPU serving throughput yet.
Endpoint paired uncertainty and local target-decoder evidence,"paper-ready evidence rows exist, but systems scope is local",endpoint paired rows pass with min packet-vs-target CI lows 0.350/0.350,paper-ready rows in ledger=3; total audited rows=104,"Mac-local proxy, not server TTFT/TPOT/throughput."
Learned receiver / latent-method diagnostics,"bounded diagnostic contribution, not headline cross-family claim",ledger records 4 positive learned-receiver rows and explicit failed/pruned rows,same-distribution positives exist; simple cross-family masked innovation failed,Need shared-dictionary/crosscoder-style method with feature knockout before claiming cross-family latent communication.
