claim_text,source_artifact_path,command_or_check_script,status
Results: ParoQuant beats Falcon M11b top-10 by 0.337.,experimental/outlier_migrate/phase9/results/om_v1_paroquant_falcon_20260528T154653Z/metrics.json; experimental/outlier_migrate/phase9/results/om_v2_m11b_falcon_20260527T1438Z/metrics.json,V1/V2 packet metrics,verified
Results: ParoQuant+M11b top-10 Granite median recovery is 0.565 and trails ParoQuant by 0.189.,experimental/outlier_migrate/phase9/results/om_stage1_e3_granite_20260526T034442Z/metrics.json,Stage 1 E3 packet metrics,verified
Abstract/Results: tight clip raises Granite positive-gap median from 0.754 to 0.922 and worst trace from -26.37 to 0.601.,experimental/outlier_migrate/phase9/results/om_driftrot_granite_clip_tight_finalpos8_20260528T2251Z/metrics.json,DriftRot tight clip packet metrics,verified
Results: tight clip DeepSeek median is 0.518 and Falcon median is 0.390.,experimental/outlier_migrate/phase9/results/om_driftrot_deepseek_clip_tight_20260528T2318Z/metrics.json; experimental/outlier_migrate/phase9/results/om_driftrot_falcon_clip_tight_20260528T2343Z/metrics.json,DriftRot tight clip packet metrics,verified
Results/Discussion: K-RES valid top-8x32 proxy worsens Granite tail to -12.294 vs tight reference 5.940.,artifacts/k_res_audit/before_after_losses.csv; artifacts/k_res_audit/metrics.json,artifacts/k_res_audit/command.sh,verified
"Results: Granite M-SURFACE post-block 0.546, SSM input 0.484, SSM C 0.486, B 0.618, B/C concat 0.602, Mamba out-proj 0.887, attention o-proj 0.799.",artifacts/msurface_complete/surface_drift_table.csv; artifacts/msurface_complete/metrics.json,artifacts/msurface_complete/command.sh,verified
"Results: KL sqrt fit is best for Granite static, DecDEC, and M11; AR(1) rho values are 0.51, 0.45, 0.44.",release/results/kl_accumulation/kl_accumulation.json; experimental/outlier_migrate/phase9/results/om_phase9_kl_granite_small_dense_20260519T085400Z/kl_summary.json,python release/src/scripts/reproduce_kl_accumulation.py --fast-verify,verified
Results: DeepSeek and Falcon spectral entropies are 0.850 and 0.891 with 100-token autocorrelation.,experimental/outlier_migrate/phase9/results/om_stage1_e1_deepseek_falcon_20260526T2335Z/stage1_e1_summary.json,Stage 1 E1 summary packet,verified
Discussion: larger static-union no-gap fraction is 0.375.,release/results/static_union/static_union.json; release/results/trace_heterogeneity/trace_heterogeneity.json,python release/src/scripts/reproduce_static_union.py --fast-verify,verified
"Discussion: residual sidecar stores 54.0 MiB, adds about 3.9M MAC/token and 7.5 MiB/token active residual columns.",artifacts/k_res_audit/metrics.json; artifacts/systems_cost/cost_table.csv,artifacts/systems_cost/cost_table.csv generation in final pass,verified
