category,baseline,source,what_transfers,source_private,byte_regime,receiver_training,target_access,included_in_current_eval,latentwire_distinction,still_needed
soft_prompting,Prefix tuning,https://aclanthology.org/2021.acl-long.353/,task-specific continuous prefix parameters,not a source-to-target communication protocol,learned prompt parameters,trained prefix,target model prompt interface,conceptual baseline,Prefix tuning adapts one model; LatentWire tests row-specific source evidence packets with wrong-row and source-choice controls.,baseline wording in related work
context_compression,Gist tokens,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3d77c6dcc7f143aa2154e7f4d5e22d68-Abstract-Conference.html,learned summary tokens for prompt compression,"no, compression is of visible context",soft/visible compressed context,trained compression behavior,target prompt/context path,conceptual baseline,Gist compresses a model's context; LatentWire transfers hidden source evidence between models with source-private controls.,same-byte visible text baseline remains the local control
context_compression,LLMLingua / LongLLMLingua,https://arxiv.org/abs/2310.05736; https://arxiv.org/abs/2310.06839,compressed visible prompt text or retained prompt tokens,"no, visible prompt content is compressed and exposed",compressed text/token context,prompt compression model,target text prompt interface,same-byte visible text is the local control,LLMLingua compresses visible context; LatentWire tests whether opaque source-private packets add utility beyond same-byte visible text.,optional stronger visible-text compression baseline for ICLR
query_bottleneck,BLIP-2 / Q-Former,https://arxiv.org/abs/2301.12597,query bottleneck between vision encoder and language model,not a source-to-target LLM communication protocol,learned query token bottleneck,trained Q-Former,frozen LM interface,architectural precedent,LatentWire's novelty is not query bottlenecks; it is packetized source-private model-to-model transfer plus destructive controls.,"cite as precedent, not baseline claim"
query_bottleneck,Flamingo / Perceiver Resampler,https://arxiv.org/abs/2204.14198,fixed latent resampler tokens into LM cross-attention,not source-private model-to-model communication,latent token bottleneck,trained multimodal bridge,LM cross-attention path,architectural precedent,"LatentWire differs by source-private packets, byte accounting, and controls against source-choice artifacts.","cite as precedent, not novelty"
query_bottleneck,Perceiver IO,https://arxiv.org/abs/2107.14795,latent query array for generic input/output mapping,not a source-to-target LLM communication protocol,latent array,trained architecture,model architecture,architectural precedent,Latent arrays are prior art; LatentWire's claim is communication protocol evaluation under strict controls.,cite as motivation only
common_basis,Sparse Crosscoders,https://transformer-circuits.pub/2024/crosscoders/,shared and private features across activation spaces,"feature analysis, not packet transfer",sparse feature coordinates if packetized,trained crosscoder,activation datasets,related-work boundary,Common bases alone are not novel; LatentWire must show sparse features cause source-private downstream utility under atom-shuffle and wrong-row controls.,future SRP method should compare directly if using crosscoders
common_basis,Universal Sparse Autoencoders,https://arxiv.org/abs/2502.03714,cross-model sparse concept basis,"feature analysis, not packet transfer",sparse coordinates if packetized,trained SAE,activation datasets,related-work boundary,LatentWire uses common-basis work only as a possible packet representation; novelty requires byte-counted causal packet utility.,future SRP baseline if PCA succeeds
common_basis,Transcoders / sparse feature circuits,https://arxiv.org/abs/2406.11944,sparse feature-to-feature computation approximating model internals,"analysis method, not direct packet transfer",sparse feature coordinates if packetized,trained transcoder,activation datasets and internal features,related-work boundary,"Transcoders can define interpretable atoms, but LatentWire must prove that packetized atoms causally improve target behavior under strict controls.",strong future baseline for behavior-transcoder packet branch
common_basis,SAEBench and SAE non-canonicity checks,https://proceedings.mlr.press/v267/karvonen25a.html,benchmarking and reliability checks for sparse feature dictionaries,analysis/evaluation method,not a communication protocol,SAE training/evaluation,activation datasets,related-work boundary,SAE quality and feature stability are prerequisites if Sparse Resonance Packets use sparse atoms; they are not themselves the communication result.,use if upgrading from PCA/SVD to SAE/crosscoder packets
quantization,TurboQuant,https://arxiv.org/abs/2504.19874,low-bit quantized vectors/KV state,"no, quantized source state still exposes state",low-bit dense vector/KV compression,quantization/calibration,state/vector path,systems byte floor comparator,TurboQuant reduces dense state cost; LatentWire sends task-level packets and must avoid unmeasured throughput claims.,native comparison after NVIDIA hardware
quantization,KVQuant,https://arxiv.org/abs/2401.18079,low-bit KV cache for long-context serving,"no, cache is still exposed/reused",low-bit KV cache,quantization/calibration,cache path,systems byte floor comparator,KVQuant compresses one model's cache; LatentWire transfers compact source evidence across models.,native comparison after NVIDIA hardware
quantization,KIVI / QJL low-bit KV sketches,https://arxiv.org/abs/2402.02750; https://arxiv.org/abs/2504.19874,low-bit KV/cache values or sketch-corrected quantized vectors,"no, dense state is compressed rather than hidden",low-bit dense cache/vector state,quantization/calibration or training-free compression,cache/vector path,systems byte floor comparator,These methods shrink dense state; LatentWire transfers task-level packets and should compare byte floors without claiming native speed.,native low-bit cache comparison for ICLR systems claims
kv_cache_compression,H2O,https://arxiv.org/abs/2306.14048,retained heavy-hitter KV cache tokens,"no, same-model cache retention",pruned KV cache,training-free cache policy,same-model cache path,related-work boundary,H2O reduces one model's cache memory; LatentWire sends source-private cross-model evidence packets.,"long-context reviewer baseline, not direct COLM_v2 competitor"
kv_cache_compression,SnapKV,https://arxiv.org/abs/2404.14469,selected KV cache tokens before generation,"no, same-model cache compression",pruned KV cache,training-free cache policy,same-model cache path,related-work boundary,SnapKV is same-model long-context compression; LatentWire is source-to-target packet communication.,systems appendix comparator if adding long-context tasks
kv_cache_compression,Quest,https://arxiv.org/abs/2406.10774,query-aware sparse KV pages for long-context inference,"no, same-model cache sparsity",sparse KV page loading,training-free cache selection,same-model cache path,related-work boundary,Quest optimizes attention cache loading; LatentWire optimizes byte-limited model-to-model evidence transfer.,native systems appendix if reviewers demand long-context baselines
kv_cache_compression,KVzip,https://arxiv.org/abs/2505.23416,query-agnostic compressed KV cache with reconstruction objective,"no, same-model cache compression",compressed KV cache,compression/reconstruction method,same-model cache path,related-work boundary,KVzip is cache storage compression; LatentWire is packetized cross-model communication with source-private controls.,appendix context if broad systems framing expands
serving_substrate,vLLM / PagedAttention,https://dl.acm.org/doi/10.1145/3600006.3613165,paged KV-cache serving substrate,not a communication method,serving memory-management baseline,runtime system,serving engine,native-system blocker only,vLLM is a required runtime baseline for TTFT/TPOT/goodput/HBM once GPU measurements are available.,native NVIDIA run before any latency/HBM claim
serving_substrate,SGLang / RadixAttention,https://proceedings.neurips.cc/paper_files/paper/2024/hash/724be4472168f31ba1c9ac630f15dec8-Abstract-Conference.html,structured LM serving runtime with KV reuse,not a communication method,serving memory-management baseline,runtime system,serving engine,native-system blocker only,SGLang is a second serving substrate for native claims; Mac byte accounting cannot replace it.,native NVIDIA run before any latency/HBM claim
local_control,source-index / source-label copy,internal destructive control,the source's preferred answer index or label,yes but artifact-prone,1-2 bytes,none or simple receiver,answer-choice interface,yes,LatentWire must beat this to show more than answer-choice copying.,keep in all packet tables
local_control,source-rank / source-score quantization,internal destructive control,source ranking or quantized score vector,yes but may reveal source choice behavior,few bytes,none or simple receiver,answer-choice interface,yes,LatentWire must exceed score/rank packet controls to claim richer communication.,include in claim audit
local_control,same-byte visible text,internal destructive control,human-readable text within the same byte budget,"no, visible text crosses the boundary",same byte budget as packet,none or same receiver,prompt text,yes,LatentWire packets must justify why opaque source-private bytes are useful relative to visible text at the same byte budget.,include in strict-control table
local_control,wrong-row / shuffled / target-derived packet,internal destructive control,noncausal or target-only packet with matched format,yes,same packet budget,same receiver,same packet interface,yes,Passing these controls is the main evidence that the packet is row-specific source communication rather than receiver artifact.,keep as hard gate for ICLR
