row_group,method,communicated_object,raw_bytes,framed_bytes,cacheline_bytes,batch64_bytes,source_private,source_text_exposed,source_hidden_or_score_vector_exposed,source_kv_exposed,source_packet_cached,source_scoring_included,native_measured,native_claim_allowed,measurement_status,claim_allowed,overclaim_guard,source_url
state relay floor,Four-choice fp16 logit-vector relay floor,"source logit vector, fp16",8,8,64,512,false,false,true,false,false,false,false,false,logit_vector_floor_not_source_private,source-state exposure floor only; not a source-private packet,This row exposes a source logit vector; do not claim it is a LatentWire packet.,results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json
state relay floor,One hidden-vector fp16 relay floor,"one source hidden vector, fp16",1792,1792,1792,114688,false,false,true,false,false,false,false,false,byte_floor_from_model_config,state-exposure lower bound only; not a baseline win,This row exposes a continuous hidden vector; do not claim it is a LatentWire packet.,local Qwen2.5-0.5B config
KV/source-state floor,1-bit/KV-element accounting floor,one-token K+V state at 1 bit/element,768,768,768,49152,false,false,false,true,false,false,false,false,optimistic_byte_floor_not_native,mathematical state-size lower bound only,This is an internal one-bit-per-KV-element accounting floor; do not treat it as a defeated QJL native baseline.,https://arxiv.org/abs/2406.03482
KV/source-state floor,KIVI 2-bit KV floor,one-token K+V state at 2 bits/element,1536,1536,1536,98304,false,false,false,true,false,false,false,false,byte_floor_not_native,KV-cache compression comparator only,KIVI compresses KV cache state and still requires native quality/throughput comparison.,https://arxiv.org/abs/2402.02750
KV communication floor,Q-KVComm optimistic 6x floor,compressed source KV cache representation,2048,2048,2048,131072,false,false,false,true,false,false,false,false,ratio_floor_not_native,compressed-KV communication boundary only,Q-KVComm transmits compressed KV-derived state; do not claim this is a source-private packet.,https://arxiv.org/abs/2512.17914
KV/source-state floor,KVQuant 3-bit proxy floor,one-token K+V state at 3 bits/element,2304,2304,2304,147456,false,false,false,true,false,false,false,false,proxy_byte_floor_not_native,sub-4-bit KV comparator only,KVQuant is a KV-cache quantization comparator; do not claim it is a packet baseline.,https://arxiv.org/abs/2401.18079
KV/source-state floor,TurboQuant 3.5-bit KV floor,one-token K+V state at 3.5 bits/element,2688,2688,2688,172032,false,false,false,true,false,false,false,false,byte_floor_not_native,KV/vector quantization comparator only,TurboQuant is a vector/KV quantizer; byte floors alone do not compare native latency.,https://arxiv.org/abs/2504.19874
KV communication floor,KVComm 30% fp16 KV floor,"selected source KV layers, fp16",3686.4,3686.4,3712,235930,false,false,false,true,false,false,false,false,30pct_layer_floor_not_native,selective-KV communication boundary only,KVComm shares selected KV pairs; this is only a native-pending 30%-layer byte floor.,https://arxiv.org/abs/2510.03346
KV communication floor,C2C one-token fp16 KV floor,projected/fused source KV cache,12288,12288,12288,786432,false,false,false,true,false,false,false,false,one_token_floor_not_native,closest cache-transfer baseline; native run still required,C2C fuses source KV cache; do not claim superiority without native C2C.,https://arxiv.org/abs/2510.03215
KV communication floor,KVCOMM cross-context fp16 KV floor,aligned/reused source KV cache,12288,12288,12288,786432,false,false,false,true,false,false,false,false,one_token_floor_not_native,systems neighbor only; native run still required,KVCOMM is a cross-context KV reuse system; this row is only a native-pending byte floor.,https://arxiv.org/abs/2510.12872
serving substrate,vLLM/PagedAttention one-token KV floor,paged KV-cache serving substrate,12288,12288,12288,786432,true,false,false,false,false,false,false,false,native_nvidia_pending,"native TTFT/TPOT/goodput/HBM target, not closed on Mac",No vLLM serving claim is valid until native NVIDIA rows are measured.,https://arxiv.org/abs/2309.06180
serving substrate,SGLang/RadixAttention one-token KV floor,KV-cache reuse serving substrate,12288,12288,12288,786432,true,false,false,false,false,false,false,false,native_nvidia_pending,"native TTFT/TPOT/goodput/HBM target, not closed on Mac",No SGLang serving claim is valid until native NVIDIA rows are measured.,https://arxiv.org/abs/2312.07104
