baseline,byte_regime,category,included_in_current_eval,latentwire_distinction,receiver_training,source,source_private,still_needed,target_access,what_transfers
Universal Sparse Autoencoders,sparse coordinates if packetized,common_basis,related-work boundary,LatentWire uses common-basis work only as a possible packet representation; novelty requires byte-counted causal packet utility.,trained SAE,https://arxiv.org/abs/2502.03714,"feature analysis, not packet transfer",future SRP baseline if PCA succeeds,activation datasets,cross-model sparse concept basis
Transcoders / sparse feature circuits,sparse feature coordinates if packetized,common_basis,related-work boundary,"Transcoders can define interpretable atoms, but LatentWire must prove that packetized atoms causally improve target behavior under strict controls.",trained transcoder,https://arxiv.org/abs/2406.11944,"analysis method, not direct packet transfer",strong future baseline for behavior-transcoder packet branch,activation datasets and internal features,sparse feature-to-feature computation approximating model internals
SAEBench and SAE non-canonicity checks,not a communication protocol,common_basis,related-work boundary,SAE quality and feature stability are prerequisites if Sparse Resonance Packets use sparse atoms; they are not themselves the communication result.,SAE training/evaluation,https://proceedings.mlr.press/v267/karvonen25a.html,analysis/evaluation method,use if upgrading from PCA/SVD to SAE/crosscoder packets,activation datasets,benchmarking and reliability checks for sparse feature dictionaries
TurboQuant,low-bit dense vector/KV compression,quantization,systems byte floor comparator,TurboQuant reduces dense state cost; LatentWire sends task-level packets and must avoid unmeasured throughput claims.,quantization/calibration,https://arxiv.org/abs/2504.19874,"no, quantized source state still exposes state",native comparison after NVIDIA hardware,state/vector path,low-bit quantized vectors/KV state
KVQuant,low-bit KV cache,quantization,systems byte floor comparator,KVQuant compresses one model's cache; LatentWire transfers compact source evidence across models.,quantization/calibration,https://arxiv.org/abs/2401.18079,"no, cache is still exposed/reused",native comparison after NVIDIA hardware,cache path,low-bit KV cache for long-context serving
KIVI / QJL low-bit KV sketches,low-bit dense cache/vector state,quantization,systems byte floor comparator,These methods shrink dense state; LatentWire transfers task-level packets and should compare byte floors without claiming native speed.,quantization/calibration or training-free compression,https://arxiv.org/abs/2402.02750; https://arxiv.org/abs/2504.19874,"no, dense state is compressed rather than hidden",native low-bit cache comparison for ICLR systems claims,cache/vector path,low-bit KV/cache values or sketch-corrected quantized vectors
H2O,pruned KV cache,kv_cache_compression,related-work boundary,H2O reduces one model's cache memory; LatentWire sends source-private cross-model evidence packets.,training-free cache policy,https://arxiv.org/abs/2306.14048,"no, same-model cache retention","long-context reviewer baseline, not direct COLM_v2 competitor",same-model cache path,retained heavy-hitter KV cache tokens
SnapKV,pruned KV cache,kv_cache_compression,related-work boundary,SnapKV is same-model long-context compression; LatentWire is source-to-target packet communication.,training-free cache policy,https://arxiv.org/abs/2404.14469,"no, same-model cache compression",systems appendix comparator if adding long-context tasks,same-model cache path,selected KV cache tokens before generation
Quest,sparse KV page loading,kv_cache_compression,related-work boundary,Quest optimizes attention cache loading; LatentWire optimizes byte-limited model-to-model evidence transfer.,training-free cache selection,https://arxiv.org/abs/2406.10774,"no, same-model cache sparsity",native systems appendix if reviewers demand long-context baselines,same-model cache path,query-aware sparse KV pages for long-context inference
KVzip,compressed KV cache,kv_cache_compression,related-work boundary,KVzip is cache storage compression; LatentWire is packetized cross-model communication with source-private controls.,compression/reconstruction method,https://arxiv.org/abs/2505.23416,"no, same-model cache compression",appendix context if broad systems framing expands,same-model cache path,query-agnostic compressed KV cache with reconstruction objective
vLLM / PagedAttention,serving memory-management baseline,serving_substrate,native-system blocker only,vLLM is a required runtime baseline for TTFT/TPOT/goodput/HBM once GPU measurements are available.,runtime system,https://dl.acm.org/doi/10.1145/3600006.3613165,not a communication method,native NVIDIA run before any latency/HBM claim,serving engine,paged KV-cache serving substrate
SGLang / RadixAttention,serving memory-management baseline,serving_substrate,native-system blocker only,SGLang is a second serving substrate for native claims; Mac byte accounting cannot replace it.,runtime system,https://proceedings.neurips.cc/paper_files/paper/2024/hash/724be4472168f31ba1c9ac630f15dec8-Abstract-Conference.html,not a communication method,native NVIDIA run before any latency/HBM claim,serving engine,structured LM serving runtime with KV reuse
source-index / source-label copy,1-2 bytes,local_control,yes,LatentWire must beat this to show more than answer-choice copying.,none or simple receiver,internal destructive control,yes but artifact-prone,keep in all packet tables,answer-choice interface,the source's preferred answer index or label
source-rank / source-score quantization,few bytes,local_control,yes,LatentWire must exceed score/rank packet controls to claim richer communication.,none or simple receiver,internal destructive control,yes but may reveal source choice behavior,include in claim audit,answer-choice interface,source ranking or quantized score vector
same-byte visible text,same byte budget as packet,local_control,yes,LatentWire packets must justify why opaque source-private bytes are useful relative to visible text at the same byte budget.,none or same receiver,internal destructive control,"no, visible text crosses the boundary",include in strict-control table,prompt text,human-readable text within the same byte budget
wrong-row / shuffled / target-derived packet,same packet budget,local_control,yes,Passing these controls is the main evidence that the packet is row-specific source communication rather than receiver artifact.,same receiver,internal destructive control,yes,keep as hard gate for ICLR,same packet interface,noncausal or target-only packet with matched format
